"location","price_rank","property_name","property_type","price_inr","price_per_sqft"
"Bangur Avenue","1","6 BHK House for Sale in Bangur Avenue","6 BHK House","28000000.00","6364"
"Bangur Avenue","1","6 BHK House for Sale in Bangur Avenue","6 BHK House","28000000.00","6364"
"Bangur Avenue","1","6 BHK House for Sale in Bangur Avenue","6 BHK House","28000000.00","6364"
"Bangur Avenue","1","6 BHK House for Sale in Bangur Avenue","6 BHK House","28000000.00","6364"
"Bangur Avenue","1","6 BHK House for Sale in Bangur Avenue","6 BHK House","28000000.00","6364"
"Bangur Avenue","1","6 BHK House for Sale in Bangur Avenue","6 BHK House","28000000.00","6364"
"Bangur Avenue","1","6 BHK House for Sale in Bangur Avenue","6 BHK House","28000000.00","6364"
"Bangur Avenue","1","6 BHK House for Sale in Bangur Avenue","6 BHK House","28000000.00","6364"
"Bangur Avenue","1","6 BHK House for Sale in Bangur Avenue","6 BHK House","28000000.00","6364"
"Bangur Avenue","1","6 BHK House for Sale in Bangur Avenue","6 BHK House","28000000.00","6364"
"Bangur Avenue","1","6 BHK House for Sale in Bangur Avenue","6 BHK House","28000000.00","6364"
"Bangur Avenue","1","6 BHK House for Sale in Bangur Avenue","6 BHK House","28000000.00","6364"
"Bangur Avenue","1","6 BHK House for Sale in Bangur Avenue","6 BHK House","28000000.00","6364"
